Vitesse de balyage nm/min,Abscissa format nm/cm,FacteurVitesse,Inconnu,FacteurFormatAbscisse,FormatAbscisseInconnu
0.9375,0.2,5,128,-1,5
1.875,0.2,10,128,-1,5
3.75,0.2,20,128,-1,5
7.5,0.2,40,128,-1,5
15,0.2,80,128,-1,5
30,0.2,160,128,-1,5
0.9375,1,5,640,-5,5
1.875,1,10,640,-5,5
3.75,1,20,640,-5,5
7.5,1,40,640,-5,5
15,1,80,640,-5,5
30,1,160,640,-5,5
60,1,320,640,-5,5
120,1,640,640,-5,5
0.9375,2,5,1280,-10,5
1.875,2,10,1280,-10,5
3.75,2,20,1280,-10,5
7.5,2,40,1280,-10,5
15,2,80,1280,-10,5
30,2,160,1280,-10,5
60,2,320,1280,-10,5
120,2,640,1280,-10,5
240,2,1280,1280,-10,5
0.9375,5,5,3200,-20,4
1.875,5,10,3200,-20,4
3.75,5,20,3200,-20,4
7.5,5,40,3200,-20,4
15,5,80,3200,-20,4
30,5,160,3200,-20,4
60,5,320,3200,-20,4
120,5,640,3200,-20,4
240,5,1280,3200,-20,4
480,5,2560,3200,-20,4
0.9375,10,1,1280,-50,5
1.875,10,2,1280,-50,5
3.75,10,4,1280,-50,5
7.5,10,8,1280,-50,5
15,10,16,1280,-50,5
30,10,32,1280,-50,5
60,10,64,1280,-50,5
120,10,128,1280,-50,5
240,10,256,1280,-50,5
480,10,512,1280,-50,5
960,10,1024,1280,-50,5
0.9375,20,1,1280,-100,5
1.875,20,1,1280,-100,5
3.75,20,2,1280,-100,5
7.5,20,4,1280,-100,5
15,20,8,1280,-100,5
30,20,16,1280,-100,5
60,20,32,1280,-100,5
120,20,64,1280,-100,5
240,20,128,1280,-100,5
480,20,256,1280,-100,5
960,20,512,1280,-100,5
0.9375,50,1,1600,-200,4
1.875,50,1,1600,-200,4
3.75,50,1,1600,-200,4
7.5,50,2,1600,-200,4
15,50,4,1600,-200,4
30,50,8,1600,-200,4
60,50,16,1600,-200,4
120,50,32,1600,-200,4
240,50,64,1600,-200,4
480,50,128,1600,-200,4
960,50,256,1600,-200,4
0.9,100,1,1600,-500,5
1.8,100,1,1600,-500,5
3.75,100,1,1600,-500,5
7.5,100,1,1600,-500,5
15,100,2,1600,-500,5
30,100,4,1600,-500,5
60,100,8,1600,-500,5
120,100,16,1600,-500,5
240,100,32,1600,-500,5
480,100,64,1600,-500,5
960,100,128,1600,-500,5
